STATE_INDEX,BITSTRING_Q0_TO_Q8,COUNT,EMPIRICAL_PROBABILITY,THEORETICAL_PROBABILITY,IS_FEASIBLE,IS_OPTIMAL,ORDER_NODE_IDS,ROAD_DISTANCE_KM,CONSTRAINT_VIOLATION,QUBO_ENERGY
243,110011110,1,0.000244140625,3.674224798875256e-05,False,False,INFACTIBLE,,8.0,2162.3885
244,001011110,1,0.000244140625,0.00020151671618659964,False,False,INFACTIBLE,,4.0,1214.914
248,000111110,1,0.000244140625,8.927084885916016e-05,False,False,INFACTIBLE,,8.0,2146.0724
251,110111110,1,0.000244140625,1.7477097562581378e-05,False,False,INFACTIBLE,,14.0,3671.7153
269,101100001,1,0.000244140625,0.00019932494748339905,False,False,INFACTIBLE,,4.0,1210.1905
271,111100001,1,0.000244140625,0.00017127229841498587,False,False,INFACTIBLE,,6.0,1699.2314999999999
278,011010001,1,0.000244140625,0.0002790124121054942,False,False,INFACTIBLE,,4.0,1102.3235
283,110110001,1,0.000244140625,0.0001064048698781028,False,False,INFACTIBLE,,4.0,1215.446
292,001001001,1,0.000244140625,0.00041716218250152057,False,False,INFACTIBLE,,6.0,1600.9324
294,011001001,1,0.000244140625,0.00017384442027759364,False,False,INFACTIBLE,,6.0,1631.5398999999998
297,100101001,1,0.000244140625,0.00015865482056604755,False,False,INFACTIBLE,,4.0,1234.1856
299,110101001,1,0.000244140625,0.00012687124524376814,False,False,INFACTIBLE,,4.0,1286.2289
300,001101001,1,0.000244140625,0.00016515487588262536,False,False,INFACTIBLE,,6.0,1692.6191
301,101101001,1,0.000244140625,7.748378602092565e-05,False,False,INFACTIBLE,,8.0,2218.7442
308,001011001,1,0.000244140625,0.0001919473341814901,False,False,INFACTIBLE,,6.0,1643.272
310,011011001,1,0.000244140625,9.73832729920509e-05,False,False,INFACTIBLE,,8.0,2132.313
314,010111001,1,0.000244140625,0.00020508268574354651,False,False,INFACTIBLE,,6.0,1697.8745999999999
316,001111001,1,0.000244140625,0.00022315964362715443,False,False,INFACTIBLE,,8.0,2193.3922
321,100000101,1,0.000244140625,0.0009882310393804264,False,False,INFACTIBLE,,4.0,1117.0657999999999
323,110000101,1,0.000244140625,0.00023434590825528048,False,False,INFACTIBLE,,4.0,1135.4092
326,011000101,1,0.000244140625,0.00023434590825528024,False,False,INFACTIBLE,,4.0,1135.4092
329,100100101,1,0.000244140625,0.0001512950437884838,False,False,INFACTIBLE,,6.0,1667.186
334,011100101,1,0.000244140625,0.00016818029758117328,False,False,INFACTIBLE,,4.0,1248.5317
